nohup: ignoring input
[RUN] /home/chenruiqi/anaconda2/envs/spdl/bin/python simulate_non_coop_game.py --scenario-profile legacy --mock-base-dir quality_data/non_coop_quality_scenarios/1 --participant-counts 5 --total-datasize 500000 --log-dir game_log/non_coop_batch/runs/scenario_1/participants_5
[scenario=10_clients] [game_id=73] iter=72, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.419935s
[scenario=10_clients] [game_id=74] iter=73, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.432367s
[scenario=10_clients] [game_id=75] iter=74, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.419998s
[scenario=10_clients] [game_id=76] iter=75, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.421363s
[scenario=10_clients] [game_id=77] iter=76, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.419667s
[scenario=10_clients] [game_id=78] iter=77, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.358545s
[scenario=10_clients] [game_id=79] iter=78, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.285730s
[scenario=10_clients] [game_id=80] iter=79, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.270919s
[scenario=10_clients] [game_id=81] iter=80, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.274669s
[scenario=10_clients] [game_id=82] iter=81, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.269040s
[scenario=10_clients] [game_id=83] iter=82, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.267627s
[scenario=10_clients] [game_id=84] iter=83, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.266048s
[scenario=10_clients] [game_id=85] iter=84, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.277166s
[scenario=10_clients] [game_id=86] iter=85, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.266528s
[scenario=10_clients] [game_id=87] iter=86, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.271234s
[scenario=10_clients] [game_id=88] iter=87, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.268193s
[scenario=10_clients] [game_id=89] iter=88, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.259811s
[scenario=10_clients] [game_id=90] iter=89, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.296531s
[scenario=10_clients] [game_id=91] iter=90, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.253812s
[scenario=10_clients] [game_id=92] iter=91, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.258414s
[scenario=10_clients] [game_id=93] iter=92, players=10, total_datasize=500000, converged=True, rounds=109, duration=0.253829s
[scenario=10_clients] [game_id=94] iter=93, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.259552s
[scenario=10_clients] [game_id=95] iter=94, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.256148s
[scenario=10_clients] [game_id=96] iter=95, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.258540s
[scenario=10_clients] [game_id=97] iter=96, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.249369s
[scenario=10_clients] [game_id=98] iter=97, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.257821s
[scenario=10_clients] [game_id=99] iter=98, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.246228s
[scenario=10_clients] [game_id=100] iter=99, players=10, total_datasize=500000, converged=True, rounds=108, duration=0.260357s
